seed,condition,auc,brier,n_episodes,event_rate,n_eff,rho
42,leak_free_grouped,0.6033786141584707,0.33244463794399054,30,0.41403508771929826,55.600205663419864,0.5139867022260662
42,leak_free_random,0.8748479705873322,0.1435808926820755,30,0.41403508771929826,55.600205663419864,0.5139867022260662
42,norm_leak_grouped,0.6033786141584707,0.33244463794399054,30,0.41403508771929826,55.600205663419864,0.5139867022260662
42,explicit_leak_grouped,0.729096723422873,0.14878788201798063,30,0.41403508771929826,55.600205663419864,0.5139867022260662
43,leak_free_grouped,0.6394900888781652,0.3500804045237601,30,0.40561224489795916,68.21479390423882,0.41749766955092327
43,leak_free_random,0.838384145119503,0.1626489669084549,30,0.40561224489795916,68.21479390423882,0.41749766955092327
43,norm_leak_grouped,0.6394900888781652,0.3500804045237601,30,0.40561224489795916,68.21479390423882,0.41749766955092327
43,explicit_leak_grouped,0.8115402530725826,0.22912806820822879,30,0.40561224489795916,68.21479390423882,0.41749766955092327
44,leak_free_grouped,0.6274412613110921,0.2583809601763884,30,0.5894308943089431,74.48525891895586,0.3639827157336339
44,leak_free_random,0.8307724172671523,0.15824812948703765,30,0.5894308943089431,74.48525891895586,0.3639827157336339
44,norm_leak_grouped,0.6274412613110921,0.2583809601763884,30,0.5894308943089431,74.48525891895586,0.3639827157336339
44,explicit_leak_grouped,0.7580768781309195,0.16127203516783387,30,0.5894308943089431,74.48525891895586,0.3639827157336339
45,leak_free_grouped,0.5967180681046912,0.3801387272930394,30,0.371994342291372,62.625172399615586,0.4559552472344458
45,leak_free_random,0.879115802447032,0.13889292180538176,30,0.371994342291372,62.625172399615586,0.4559552472344458
45,norm_leak_grouped,0.5967180681046912,0.3801387272930394,30,0.371994342291372,62.625172399615586,0.4559552472344458
45,explicit_leak_grouped,0.8497432972051222,0.19294235846148997,30,0.371994342291372,62.625172399615586,0.4559552472344458
46,leak_free_grouped,0.5689932998717828,0.2397361670989388,30,0.47115384615384615,76.75887563186525,0.36006833603460964
46,leak_free_random,0.8111342310210518,0.18027668595314025,30,0.47115384615384615,76.75887563186525,0.36006833603460964
46,norm_leak_grouped,0.5689932998717828,0.2397361670989388,30,0.47115384615384615,76.75887563186525,0.36006833603460964
46,explicit_leak_grouped,0.8093618149627658,0.13258991368614564,30,0.47115384615384615,76.75887563186525,0.36006833603460964
47,leak_free_grouped,0.5616865223933581,0.36402760493801906,30,0.34023285899094435,63.191668480010605,0.4535380319874954
47,leak_free_random,0.8595228658163021,0.1449364185333252,30,0.34023285899094435,63.191668480010605,0.4535380319874954
47,norm_leak_grouped,0.5616865223933581,0.36402760493801906,30,0.34023285899094435,63.191668480010605,0.4535380319874954
47,explicit_leak_grouped,0.7162892702756082,0.20683417198597454,30,0.34023285899094435,63.191668480010605,0.4535380319874954
48,leak_free_grouped,0.8493197278911564,0.21215284011656574,30,0.43953934740882916,38.976267929377485,0.7556278069270215
48,leak_free_random,0.9809123886410933,0.06194733530282974,30,0.43953934740882916,38.976267929377485,0.7556278069270215
48,norm_leak_grouped,0.8493197278911564,0.21215284011656574,30,0.43953934740882916,38.976267929377485,0.7556278069270215
48,explicit_leak_grouped,0.8742630385487526,0.09517059801922491,30,0.43953934740882916,38.976267929377485,0.7556278069270215
49,leak_free_grouped,0.6246830550401978,0.15586567778761187,30,0.7181571815718157,77.95082661193369,0.3304206656443576
49,leak_free_random,0.8201913396576469,0.14942895174026488,30,0.7181571815718157,77.95082661193369,0.3304206656443576
49,norm_leak_grouped,0.6246830550401978,0.15586567778761187,30,0.7181571815718157,77.95082661193369,0.3304206656443576
49,explicit_leak_grouped,0.7675025123685837,0.12815798095404413,30,0.7181571815718157,77.95082661193369,0.3304206656443576
50,leak_free_grouped,0.4713366409415254,0.3108625378459692,30,0.33249370277078083,57.127840479979355,0.5064915883162292
50,leak_free_random,0.8775258041284243,0.137363401055336,30,0.33249370277078083,57.127840479979355,0.5064915883162292
50,norm_leak_grouped,0.4713366409415254,0.3108625378459692,30,0.33249370277078083,57.127840479979355,0.5064915883162292
50,explicit_leak_grouped,0.7832173032087475,0.16957892544669448,30,0.33249370277078083,57.127840479979355,0.5064915883162292
51,leak_free_grouped,0.5264813491743393,0.23949547751496236,30,0.43427620632279534,68.36103423154056,0.4093638198719662
51,leak_free_random,0.8249770780417055,0.1712239921092987,30,0.43427620632279534,68.36103423154056,0.4093638198719662
51,norm_leak_grouped,0.5264813491743393,0.23949547751496236,30,0.43427620632279534,68.36103423154056,0.4093638198719662
51,explicit_leak_grouped,0.760685428886405,0.13666935282327966,30,0.43427620632279534,68.36103423154056,0.4093638198719662
